iata_code,icao_code,name,alias,
ZJ,ZMA,Zambezi Airlines,,"""ZJ""=>""Zambezi Airlines"","
ZK,GLA,Great Lakes Airlines,,"""ZK""=>""Great Lakes Airlines"","
ZL,RXA,Regional Express,,"""ZL""=>""Regional Express"","
ZM,MBB,Pegasus Asia,Air Manas,"""ZM""=>""Pegasus Asia"","
ZN,NAY,Naysa,Air Bourbon,"""ZN""=>""Naysa"","
ZP,AZP,Paranair,,"""ZP""=>""Paranair"","
ZR,,Punto Azul,,"""ZR""=>""Punto Azul"","
ZS,,Kazaviaspas,,"""ZS""=>""Kazaviaspas"","
ZT,,Titan Airways,,"""ZT""=>""Titan Airways"","
ZU,,Sunair,,"""ZU""=>""Sunair"","
ZV,VAX,V Air,,"""ZV""=>""V Air"","
ZW,AWI,Air Wisconsin,,"""ZW""=>""Air Wisconsin"","
ZX,GGN,Air Georgian,Air Alliance,"""ZX""=>""Air Georgian"","
ZY,,China Air Cargo,,"""ZY""=>""China Air Cargo"","
ZZ,,Airline Service,,"""ZZ""=>""Airline Service"","
